channel_id,channel_title,pagerank,betweenness,degree,num_edges,cluster_id
UCCLcQqYNOFu9eDFvdVn4__w,A Arte da Terra,0.003920647568749517,7.311865695650902e-05,0.4961832061068702,130,1
UC8hGUtfEgvvnp6IaHSAg1OQ,Jair Bolsonaro,0.007290487385532538,0.0003070983592173379,0.6450381679389313,169,2
UCNlCllCWYAtU7TzBNKwaMHw,ARTE DA GUERRA,0.005162229075860907,0.0005657759189390321,0.5610687022900763,147,1
UC_vslUWCqNyT056xazRBQ8w,Utensilios do Chef,0.0007146798111657866,8.774238834781083e-05,0.04961832061068702,13,0
UCLH-dSrQFwGBx3csuBHGUqA,PCO - Partido da Causa Operária,0.0022888051555290355,0.0015597032509377863,0.5343511450381679,140,0
UCC83Kcl8gzH8r0ou2Z9s_uQ,TV VIVA,0.003307183406905544,0.006798677179040432,0.6221374045801527,163,0
UC_W4p81y6sx0ojOucduhOHg,Evangelista Art Portfolio,0.001955527829743731,0.0048320068785980864,0.5038167938931297,132,2
UCtjcZNVZFi4NuiEYPLnXWcA,Judson Santiago,0.003027722509424136,0.0023880553361995847,0.6259541984732824,164,0
UCEaXaeR0DL62WwRlR2EMxEQ,COTV - CausaOperariaTV,0.00597543351991521,0.00024754727527387,0.6030534351145038,158,1
UCRQqxjHJ9w_vei7sOd4iRDw,Tempest Gold Botswana,0.0007249553593135399,0.012873133580337232,0.14885496183206107,39,0
UCUnc496-PPmFZVKlYxUnToA,Military Summary,0.005331415835080302,0.00040775837696079866,0.5687022900763359,149,1
UCodkb-qBktJI5NrUsPYpf7g,Jordan B Peterson Clips,0.007308593202203797,0.0007016605595178906,0.6603053435114503,173,1
UC1o3zxYPqLr4tpt9usZ6HYg,Your Video Source,0.0006419748531480836,0.0,0.04198473282442748,11,0
UC561W4wZZE_5GK00C0FCSsA,Elite High Performance,0.006033339873515989,0.0004908699170346972,0.8015267175572519,210,2
UC6URNtezaCWcvBjfe3642cg,AJETZ,0.002902163206268903,0.0008759615103389782,0.4389312977099237,115,0
UCe9FeQOaPCgE6zw9qPj0nCw,Shadow Mask / Теневая Mаска,0.0027034881358981044,0.006090331485172233,0.5610687022900763,147,0
UCfkk0WHZXTxIMiFAhxcvoHQ,dub mdee,0.002257023415217368,0.001172823257582405,0.45038167938931295,118,0
UC6hoYJjln2FhMlr1VOudssw,Ottawalks,0.00479040350850522,0.001325676069029583,0.6183206106870229,162,0
UCU6yEL9M4l3HYLxuhHgAg1w,PCM - O Pior Canal do Mundo,0.0017344689323824224,0.002109229524338764,0.4351145038167939,114,0
