date,negative,neutral,positive
2018-04-16 00:00:00+00:00,0.0,0.0,1.0
2018-04-23 00:00:00+00:00,0.0,0.0,1.0
2018-05-28 00:00:00+00:00,0.3333333333333333,0.6666666666666666,0.0
2018-06-11 00:00:00+00:00,0.5,0.5,0.0
2018-06-18 00:00:00+00:00,0.25,0.25,0.5
2018-06-25 00:00:00+00:00,0.0,0.0,1.0
2018-07-02 00:00:00+00:00,0.0,0.5,0.5
2018-07-09 00:00:00+00:00,0.23076923076923078,0.23076923076923078,0.5384615384615384
2018-07-16 00:00:00+00:00,0.5,0.5,0.0
2018-07-23 00:00:00+00:00,0.5,0.0,0.5
2018-08-13 00:00:00+00:00,0.0,0.0,1.0
2018-08-20 00:00:00+00:00,0.5,0.5,0.0
2018-09-03 00:00:00+00:00,0.0,0.0,1.0
2018-11-05 00:00:00+00:00,0.5,0.0,0.5
2019-02-04 00:00:00+00:00,0.0,0.0,1.0
2019-03-18 00:00:00+00:00,0.0,1.0,0.0
2019-04-29 00:00:00+00:00,0.0,1.0,0.0
2019-05-20 00:00:00+00:00,0.25,0.3,0.45
2019-05-27 00:00:00+00:00,0.0,0.0,1.0
2019-06-03 00:00:00+00:00,0.5,0.0,0.5
2019-06-17 00:00:00+00:00,0.0,0.0,1.0
2019-07-01 00:00:00+00:00,0.15789473684210525,0.21052631578947367,0.631578947368421
2019-07-08 00:00:00+00:00,1.0,0.0,0.0
2019-07-15 00:00:00+00:00,1.0,0.0,0.0
2019-07-29 00:00:00+00:00,0.25,0.25,0.5
2019-08-19 00:00:00+00:00,1.0,0.0,0.0
2019-08-26 00:00:00+00:00,0.0,0.0,1.0
2019-09-02 00:00:00+00:00,0.3333333333333333,0.0,0.6666666666666666
2019-09-30 00:00:00+00:00,0.2222222222222222,0.4444444444444444,0.3333333333333333
2019-10-07 00:00:00+00:00,1.0,0.0,0.0
2019-10-28 00:00:00+00:00,0.0,0.0,1.0
2019-11-18 00:00:00+00:00,0.0,1.0,0.0
2019-11-25 00:00:00+00:00,0.06666666666666667,0.3333333333333333,0.6
2019-12-02 00:00:00+00:00,0.6,0.1,0.3
2019-12-16 00:00:00+00:00,0.0,1.0,0.0
2019-12-30 00:00:00+00:00,0.25,0.3125,0.4375
2020-01-06 00:00:00+00:00,1.0,0.0,0.0
2020-01-13 00:00:00+00:00,0.0,0.0,1.0
2020-02-03 00:00:00+00:00,0.0,1.0,0.0
2020-02-17 00:00:00+00:00,0.0,0.5,0.5
2020-02-24 00:00:00+00:00,1.0,0.0,0.0
2020-03-09 00:00:00+00:00,0.2727272727272727,0.09090909090909091,0.6363636363636364
2020-03-16 00:00:00+00:00,0.14285714285714285,0.42857142857142855,0.42857142857142855
2020-03-23 00:00:00+00:00,1.0,0.0,0.0
2020-03-30 00:00:00+00:00,0.0,1.0,0.0
2020-04-06 00:00:00+00:00,0.5,0.0,0.5
2020-04-13 00:00:00+00:00,1.0,0.0,0.0
2020-05-04 00:00:00+00:00,0.0,0.0,1.0
2020-05-11 00:00:00+00:00,0.0,0.0,1.0
2020-05-18 00:00:00+00:00,0.0,0.3333333333333333,0.6666666666666666
2020-05-25 00:00:00+00:00,0.5,0.25,0.25
2020-06-01 00:00:00+00:00,0.21428571428571427,0.14285714285714285,0.6428571428571429
2020-06-08 00:00:00+00:00,0.1111111111111111,0.5555555555555556,0.3333333333333333
2020-06-15 00:00:00+00:00,0.0,0.3333333333333333,0.6666666666666666
2020-06-22 00:00:00+00:00,0.0,0.0,1.0
