author_channel_id,cluster_id,pagerank,degree
UC9hHeywcPBnLglqnQRaNShQ,27,0.001047678628395389,86
UCpNnbHwa2Pbnxes2sGI-Y6g,10,0.0010419590003709974,142
UCpZ9jy2KRnvof7hV6-6MziQ,78,0.0010318628127645236,71
UCrFTUYOTYq8g6E2kfQKDwrg,49,0.0010316189457423334,57
UCmtLaVWW3U9NoUUw0VL0j2Q,49,0.0010275570194422418,57
UCl2a6fCpxDCU-b2js1JaEQQ,8,0.0010268279405247474,270
UCaO9ozA9Q7ruRqQ6yNDXFsw,78,0.0010250398488110257,72
UCdXSfBChf_mLNJlutNim4iA,26,0.0010229330358132208,107
UCffCb_pCeblOPyIKnQ6mfFw,26,0.001017311630515949,106
UCkiax-VkqzZR0MWMEHti9zw,0,0.0010158493126648882,102
UCJgXPSmrH2wJEbYH3yh8cIg,26,0.0010117593799995072,105
UCG-Aa36ju17oEqz5a0UatzQ,19,0.001004387230250115,73
UCJ15uBn9oXjxcbfoiL3lJEg,8,0.0010019621170459466,269
UCMtxvbllzArqPW0uJIFDieA,100,0.000994711678091274,51
UCIRY9glDoR9FH2QRSCsRG1A,8,0.0009881139382884108,264
UCPhHoztv_7BUt_IykIjReVQ,32,0.0009877422848858705,78
UC_ceJ18ZusX5StXQfVbQE6A,8,0.000978615641754397,262
UCBbFcEgAJSiNpAIoaORDfkg,29,0.0009719749121531257,80
UCYSwYZhyxtnhIBI72dMEE5Q,8,0.000964449419387963,255
UCaUT4ZiBJILmM9dnDccWOdQ,27,0.0009625102941554299,73
UC8ty3SQZOIuKZzjbq9dKWeQ,6,0.0009561953970225689,31
UCtWI8vdO5zGbIixsPN0KyZQ,9,0.0009510765910704885,88
UC2ivi5mE8goXThSDS_6axDQ,32,0.0009491648457756553,72
UCJLf9QLMszqLdt3ZQHiMmDg,10,0.0009467144761092366,138
UCL9TbbHNkY0rF9Cf5LUpuqg,10,0.0009417514857217309,138
UCcTCqoV3cLzLyL0d_ziSqDQ,10,0.0009393682420069637,132
UC8GzvoXRGHxM0paDkKiUhyw,26,0.000935084723383449,93
UCr9rRtkTD0vna-1y9tILjrg,15,0.0009347101461010148,117
UCl7HgBZCGPBCt6kr9_IdRDA,9,0.000932123544258449,89
UC64XYBeXQwm0eDtzXmwgj-A,65,0.0009270394884724896,100
UCEFEYAywMUVbHTo0y8T7_cA,53,0.0009232169068556281,27
UCz6RIy7B1e9VSGBlly7K49Q,51,0.0009211642870070091,28
UCfOz-elN_APGwYA45JwJttQ,8,0.000920839003364966,249
UClMI5N8e6gH7sRSeoiiVY0A,9,0.0009206003323322131,86
UCkKOwrS8SOfhPpjJ4NWa6rw,0,0.0009203855475161012,95
UCP2qdQrbDk8h6RwQ2iskDuQ,56,0.0009165977603144438,34
UCJjL2bli05ZVeMspOg2qabA,9,0.0009159079714140455,83
UCj1vWK3QYMryt24rXFQ5vSQ,39,0.0009133975922409232,41
UCrz2wuUAYlCBlPpZRegU75g,19,0.0009122931520227514,63
UCdQzruizy9WMcgOZu3lqMmA,13,0.0009092679657799436,113
UCsaITSTL84_nQeUEWJ3VYqQ,8,0.0009062229385984208,247
UCqvfC9gMLEq2IlF1pOockkQ,33,0.0009058712583742334,85
UC2_aIu-LJN2jecRfHsyGh-Q,48,0.0008960660274452936,56
UC8IVrTIxpSGiJcAxzhd2QhA,7,0.0008940194116779103,37
UCpvTJwSqxoprTxnY0-3GdUA,9,0.0008937921079856398,86
UCrIeOeYMeBPLDqzNBaXrpDw,100,0.0008927092703186206,43
UCUWdTiTa6McsjJJfvbP9X0w,29,0.0008909831953369316,76
UCXqE1XDk4X8Bwen_3dWXfZQ,27,0.0008845528317651955,80
UCjXZuLj1UGJ7KB-BW9i4bkA,0,0.0008794120509967758,89
UCvOayMC9UVLIO3zuJvWoMeg,28,0.000878212141831756,124
UCEwvWPWPBxkXOK1N2u6sMeQ,30,0.0008610376265574553,50
UCYtc4-WjqxlqS8sI35dk-kQ,15,0.0008589891902153797,109
UCR1Har97Z1VDQyjdnLi3KJw,9,0.0008557331578923769,77
